streak,consistency,goal,engagement,action
24,29,fitness,high,rest
7,90,fitness,high,train_hard
12,61,fatloss,high,rest
30,22,fatloss,high,walk
1,1,fatloss,low,walk
22,75,fatloss,high,cardio
26,74,fatloss,high,train_hard
4,80,muscle,medium,train_light
1,31,fitness,low,walk
29,17,muscle,high,rest
14,76,muscle,high,train_hard
0,23,fatloss,low,walk
8,53,fatloss,high,rest
28,40,fatloss,high,rest
13,17,muscle,high,walk
24,60,muscle,high,rest
27,90,muscle,high,cardio
25,77,fatloss,high,cardio
19,52,fitness,high,walk
0,63,fitness,low,walk
15,38,fatloss,high,walk
21,100,fatloss,high,train_hard
9,1,fitness,high,rest
18,77,muscle,high,train_hard
17,1,muscle,high,walk
4,9,fitness,medium,cardio
17,4,fitness,high,mobility
26,98,fatloss,high,train_hard
9,10,fatloss,high,mobility
14,50,muscle,high,walk
14,19,fitness,high,rest
14,39,muscle,high,mobility
24,51,fatloss,high,walk
24,15,fitness,high,rest
20,22,fatloss,high,rest
26,14,fitness,high,mobility
10,74,fatloss,high,train_hard
5,50,muscle,high,mobility
29,75,muscle,high,train_hard
2,29,muscle,medium,train_light
3,1,muscle,medium,train_light
30,27,muscle,high,rest
8,28,fitness,high,rest
1,46,fatloss,low,rest
18,50,fatloss,high,mobility
9,60,muscle,high,walk
9,11,muscle,high,rest
1,80,fitness,low,rest
13,3,fitness,high,rest
28,65,fitness,high,rest
17,3,fatloss,high,rest
5,65,muscle,high,rest
16,96,muscle,high,train_hard
15,62,fitness,high,mobility
23,76,fitness,high,train_hard
15,9,fatloss,high,rest
8,87,fitness,high,train_hard
10,57,fitness,high,mobility
20,35,fitness,high,walk
29,82,muscle,high,cardio
22,45,fatloss,high,mobility
8,17,muscle,high,walk
13,100,fatloss,high,train_hard
18,18,fitness,high,walk
13,71,muscle,high,cardio
7,89,muscle,high,cardio
11,75,muscle,high,train_hard
20,64,fitness,high,mobility
26,96,fatloss,high,train_hard
30,59,muscle,high,mobility
16,59,muscle,high,walk
7,31,muscle,high,mobility
10,18,muscle,high,rest
1,45,muscle,low,rest
3,57,fitness,medium,walk
19,33,muscle,high,rest
6,64,muscle,high,rest
21,67,muscle,high,mobility
21,23,fitness,high,rest
23,56,fitness,high,rest
24,57,muscle,high,mobility
0,63,fitness,low,walk
21,52,fatloss,high,mobility
7,14,fitness,high,walk
13,48,fatloss,high,walk
3,76,fatloss,medium,train_light
30,8,fitness,high,rest
28,11,fatloss,high,mobility
28,4,muscle,high,rest
27,34,fatloss,high,mobility
11,52,fatloss,high,walk
11,44,fatloss,high,rest
16,11,fatloss,high,mobility
15,74,fatloss,high,train_hard
15,15,fatloss,high,rest
10,84,fatloss,high,train_hard
26,56,muscle,high,rest
0,15,fatloss,low,rest
21,63,muscle,high,mobility
14,52,fitness,high,walk
7,14,muscle,high,mobility
25,29,muscle,high,walk
2,44,muscle,medium,cardio
1,19,fatloss,low,rest
11,9,fatloss,high,mobility
0,29,fitness,low,rest
28,61,muscle,high,rest
21,2,fatloss,high,walk
21,75,fitness,high,train_hard
1,22,muscle,low,mobility
4,63,muscle,medium,cardio
4,47,fatloss,medium,walk
13,78,fitness,high,cardio
12,6,fatloss,high,mobility
8,57,muscle,high,mobility
12,74,fitness,high,train_hard
25,94,fatloss,high,train_hard
16,44,fatloss,high,rest
22,44,fitness,high,walk
18,59,fatloss,high,mobility
8,34,fatloss,high,mobility
18,92,muscle,high,cardio
12,53,fatloss,high,walk
9,69,fitness,high,walk
6,44,muscle,high,walk
20,18,fitness,high,mobility
2,94,fitness,medium,walk
2,52,fatloss,medium,walk
4,46,fitness,medium,train_light
30,12,fitness,high,mobility
27,56,fitness,high,mobility
0,29,muscle,low,rest
4,25,fatloss,medium,train_light
29,72,muscle,high,cardio
29,48,fitness,high,walk
25,25,muscle,high,mobility
13,57,muscle,high,walk
12,39,fatloss,high,mobility
11,62,fatloss,high,rest
21,47,fatloss,high,mobility
17,7,fitness,high,rest
20,95,muscle,high,train_hard
21,68,fitness,high,mobility
8,18,muscle,high,walk
5,78,fitness,high,cardio
7,43,fatloss,high,mobility
15,49,fitness,high,mobility
6,11,muscle,high,mobility
15,28,fitness,high,rest
12,64,muscle,high,mobility
20,81,fatloss,high,train_hard
9,33,muscle,high,rest
8,40,fatloss,high,walk
2,36,muscle,medium,cardio
18,11,muscle,high,walk
8,28,fatloss,high,mobility
4,89,fitness,medium,walk
28,83,fitness,high,train_hard
0,9,fatloss,low,mobility
21,90,fitness,high,train_hard
26,51,fitness,high,mobility
1,51,muscle,low,walk
0,53,fatloss,low,rest
21,27,muscle,high,rest
6,22,fatloss,high,walk
24,54,muscle,high,walk
24,5,fatloss,high,walk
16,8,muscle,high,rest
22,39,muscle,high,mobility
19,84,fitness,high,cardio
12,96,muscle,high,train_hard
20,75,fitness,high,train_hard
9,28,fatloss,high,rest
20,27,muscle,high,walk
21,26,fitness,high,rest
0,9,fatloss,low,walk
18,20,fatloss,high,walk
11,100,fitness,high,train_hard
1,19,fatloss,low,mobility
25,0,fitness,high,rest
29,25,fatloss,high,mobility
20,45,fatloss,high,mobility
25,18,fitness,high,walk
15,22,muscle,high,walk
16,45,muscle,high,mobility
1,62,fitness,low,rest
4,36,fatloss,medium,walk
25,0,muscle,high,mobility
16,32,fatloss,high,mobility
22,72,fitness,high,train_hard
16,0,muscle,high,walk
12,51,fitness,high,walk
19,33,muscle,high,walk
15,4,muscle,high,mobility
27,26,fatloss,high,rest
9,45,muscle,high,rest
26,85,fatloss,high,train_hard
20,18,fitness,high,walk
3,32,muscle,medium,walk
20,90,fitness,high,train_hard
14,0,fatloss,high,walk
18,83,muscle,high,cardio
25,96,muscle,high,train_hard
10,20,fatloss,high,walk
26,86,fatloss,high,train_hard
15,85,fitness,high,cardio
10,62,muscle,high,rest
2,40,muscle,medium,train_light
0,63,fatloss,low,walk
12,16,fitness,high,walk
13,35,muscle,high,rest
12,79,fatloss,high,train_hard
1,56,muscle,low,mobility
22,61,muscle,high,walk
30,47,fatloss,high,mobility
6,21,fitness,high,rest
18,48,fatloss,high,mobility
0,82,fitness,low,mobility
23,63,fatloss,high,rest
19,89,fatloss,high,cardio
27,82,muscle,high,cardio
23,24,fitness,high,mobility
3,29,fitness,medium,walk
25,72,fatloss,high,cardio
15,51,muscle,high,rest
7,50,fatloss,high,rest
23,75,fatloss,high,train_hard
11,3,muscle,high,mobility
26,86,fatloss,high,cardio
10,71,fatloss,high,train_hard
12,24,muscle,high,walk
25,76,muscle,high,cardio
26,5,fitness,high,mobility
16,77,muscle,high,cardio
17,96,fatloss,high,train_hard
2,59,fatloss,medium,walk
29,14,fatloss,high,rest
23,47,muscle,high,rest
24,57,muscle,high,rest
29,7,fitness,high,rest
26,51,muscle,high,mobility
4,63,muscle,medium,cardio
2,17,fatloss,medium,train_light
12,97,fatloss,high,train_hard
6,31,fitness,high,mobility
18,72,muscle,high,train_hard
0,13,fatloss,low,mobility
12,87,muscle,high,cardio
21,5,fitness,high,mobility
13,72,fitness,high,train_hard
0,88,fatloss,low,mobility
4,74,fitness,medium,walk
0,85,fitness,low,mobility
27,63,muscle,high,rest
13,23,muscle,high,mobility
28,15,muscle,high,mobility
10,99,muscle,high,cardio
16,92,fitness,high,train_hard
27,22,fatloss,high,mobility
0,79,muscle,low,rest
13,59,fatloss,high,rest
29,88,fatloss,high,cardio
1,72,fitness,low,rest
29,78,muscle,high,train_hard
15,75,fatloss,high,cardio
0,2,fitness,low,mobility
7,22,muscle,high,mobility
19,53,muscle,high,walk
1,45,muscle,low,rest
5,24,fatloss,high,rest
7,92,muscle,high,train_hard
29,32,fatloss,high,mobility
20,20,fitness,high,rest
24,69,muscle,high,rest
11,22,fitness,high,mobility
1,37,fatloss,low,rest
10,36,fitness,high,walk
29,68,fatloss,high,rest
3,56,fitness,medium,walk
13,71,muscle,high,train_hard
4,45,fitness,medium,walk
7,62,fatloss,high,mobility
16,76,fatloss,high,train_hard
17,62,muscle,high,mobility
21,39,fatloss,high,rest
17,74,fatloss,high,cardio
3,72,fatloss,medium,walk
2,80,fitness,medium,cardio
9,49,muscle,high,walk
0,25,muscle,low,mobility
4,59,fitness,medium,cardio
0,67,fatloss,low,mobility
0,80,fitness,low,walk
21,98,muscle,high,train_hard
6,8,fitness,high,mobility
6,89,fatloss,high,train_hard
2,74,muscle,medium,walk
26,1,muscle,high,mobility
22,78,fitness,high,cardio
22,59,fitness,high,mobility
14,50,fitness,high,walk
0,57,fatloss,low,mobility
6,48,fitness,high,mobility
3,11,muscle,medium,train_light
22,46,fitness,high,rest
29,30,fitness,high,mobility
16,27,fatloss,high,rest
25,3,fitness,high,rest
0,52,fatloss,low,walk
3,73,muscle,medium,cardio
11,29,fitness,high,walk
24,6,muscle,high,rest
30,29,fatloss,high,rest
26,2,muscle,high,mobility
24,61,fatloss,high,mobility
14,23,fatloss,high,rest
7,76,fitness,high,train_hard
16,6,fitness,high,walk
1,87,muscle,low,walk
9,38,fatloss,high,mobility
25,59,fitness,high,mobility
7,36,fatloss,high,mobility
25,48,fitness,high,walk
22,76,muscle,high,cardio
0,42,fatloss,low,walk
30,19,fatloss,high,rest
30,26,fatloss,high,walk
18,63,fitness,high,walk
18,82,fitness,high,cardio
9,39,muscle,high,rest
17,4,fatloss,high,mobility
5,80,fitness,high,train_hard
4,36,fatloss,medium,cardio
1,88,fitness,low,walk
20,76,fitness,high,train_hard
25,23,muscle,high,walk
13,43,fitness,high,mobility
28,86,fitness,high,train_hard
1,44,muscle,low,walk
20,59,fitness,high,mobility
26,81,muscle,high,cardio
12,92,fitness,high,cardio
17,11,fitness,high,rest
3,30,fitness,medium,cardio
16,87,muscle,high,cardio
7,90,fatloss,high,cardio
27,31,muscle,high,walk
15,77,muscle,high,train_hard
19,72,fitness,high,train_hard
21,77,muscle,high,train_hard
21,20,fatloss,high,walk
22,24,fatloss,high,mobility
10,98,muscle,high,train_hard
9,74,fatloss,high,train_hard
27,50,fitness,high,rest
24,72,fatloss,high,train_hard
4,77,muscle,medium,walk
5,40,fitness,high,rest
13,12,fitness,high,walk
27,71,fatloss,high,train_hard
16,57,fitness,high,mobility
17,43,muscle,high,mobility
27,56,fitness,high,walk
4,47,fatloss,medium,train_light
6,63,muscle,high,mobility
1,72,fatloss,low,mobility
26,10,fitness,high,mobility
15,4,muscle,high,rest
15,96,fitness,high,cardio
12,78,fatloss,high,train_hard
7,74,muscle,high,train_hard
25,18,fitness,high,walk
25,51,fitness,high,mobility
18,42,fitness,high,walk
23,45,fatloss,high,mobility
19,37,fatloss,high,walk
28,11,fatloss,high,rest
0,6,muscle,low,mobility
12,11,fitness,high,mobility
22,63,muscle,high,mobility
21,4,fatloss,high,walk
19,70,fitness,high,mobility
1,74,muscle,low,rest
16,90,fatloss,high,cardio
18,45,muscle,high,mobility
30,36,muscle,high,mobility
26,16,fatloss,high,walk
30,86,fatloss,high,train_hard
5,21,fatloss,high,mobility
13,38,fatloss,high,mobility
6,49,fatloss,high,rest
0,14,muscle,low,walk
27,56,fatloss,high,walk
12,55,muscle,high,mobility
12,80,muscle,high,train_hard
15,44,fitness,high,rest
1,35,fatloss,low,rest
30,70,fitness,high,walk
6,34,fitness,high,mobility
12,21,fitness,high,walk
14,81,muscle,high,train_hard
4,34,fatloss,medium,walk
10,15,fitness,high,mobility
0,97,muscle,low,rest
11,50,fatloss,high,mobility
8,72,fitness,high,train_hard
7,51,muscle,high,mobility
10,60,muscle,high,walk
2,23,fitness,medium,cardio
10,68,muscle,high,mobility
15,37,fatloss,high,mobility
27,14,fatloss,high,rest
22,92,muscle,high,train_hard
24,43,muscle,high,mobility
0,75,fatloss,low,walk
8,12,fitness,high,walk
29,57,fatloss,high,walk
11,43,fitness,high,walk
28,81,fitness,high,train_hard
21,62,muscle,high,walk
6,8,fitness,high,rest
8,28,muscle,high,walk
20,86,muscle,high,cardio
